"Received" "Accepted" "Published" "Public" "Citation" "Editor" "Subject"
"208" "2013-08-26" "2013-10-22" "2013-11-21" 1 "0" "MónicaMedina" "Environmental Sciences,Marine Biology"
"209" "2013-07-15" "2013-10-23" "2013-11-26" 0 "1" "GabrieleSorci" "Animal Behavior,Evolutionary Studies,Zoology"
"210" "2013-07-12" "2013-10-23" "2013-11-28" 1 "0" "GerhardAndersson" "Clinical Trials,Psychiatry and Psychology,Public Health"
"211" "2013-10-03" "2013-10-24" "2013-11-12" 1 "0" "VladimirUversky" "Biochemistry,Computational Biology,Computational Science"
"212" "2013-08-27" "2013-10-30" "2013-11-21" 1 "0" "T. MartijnBezemer" "Biodiversity,Ecology"
"213" "2013-09-26" "2013-10-30" "2013-11-19" 0 "0" "StephenHawkins" "Aquaculture, Fisheries and Fish Science,Ecology,Marine Biology"
"214" "2013-06-18" "2013-10-30" "2013-11-21" 1 "0" "ArielaBenigni" "Molecular Biology,Neuroscience,Neurology,Pharmacology"
"215" "2013-09-26" "2013-11-01" "2013-11-21" 1 "3" "Xiang-JiaoYang" "Aquaculture, Fisheries and Fish Science,Genomics,Molecular Biology"
"216" "2013-09-09" "2013-11-02" "2013-11-19" 0 "0" "JafriAbdullah" "Psychiatry and Psychology,Science and Medical Education"
"217" "2013-07-25" "2013-11-06" "2013-11-28" 1 "0" "GenevieveMcArthur" "Cognitive Disorders,Psychiatry and Psychology"
"218" "2013-08-30" "2013-11-08" "2013-12-10" 1 "1" "DavidRoberts" "Biodiversity,Conservation Biology,Evolutionary Studies,Plant Science,Taxonomy"
"219" "2013-07-31" "2013-11-11" "2013-11-28" 1 "0" "StuartPimm" "Biodiversity,Biogeography,Ecology"
"220" "2013-07-23" "2013-11-11" "2013-11-28" 0 "0" "ConnieEaves" "Cell Biology,Molecular Biology,Anaesthesiology and Pain Management,Pharmacology"
"221" "2013-10-14" "2013-11-13" "2013-12-03" 0 "0" "PaulTulkens" "Cell Biology,Microbiology,Plant Science"
"222" "2013-08-01" "2013-11-19" "2013-12-12" 0 "0" "JackStanford" "Ecology"
"223" "2013-10-03" "2013-11-20" "2013-12-10" 1 "0" "LucianoFadiga" "Animal Behavior,Evolutionary Studies,Neuroscience,Psychiatry and Psychology"
"224" "2013-06-27" "2013-11-22" "2013-12-10" 1 "2" "JaleesRehman" "Cell Biology,Developmental Biology,Virology"
"225" "2013-08-29" "2013-11-26" "2013-12-17" 1 "0" "YohIwasa" "Evolutionary Studies"
"226" "2013-09-26" "2013-11-28" "2013-12-23" 1 "0" "KeithCrandall" "Bioinformatics,Evolutionary Studies"
"227" "2013-10-06" "2013-11-29" "2013-12-17" 1 "0" "StuartPimm" "Conservation Biology"
"228" "2013-10-21" "2013-11-30" "2014-01-02" 1 "0" "EthanWhite" "Computational Biology,Ecology,Environmental Sciences,Evolutionary Studies,Mathematical Biology"
"229" "2013-08-19" "2013-12-02" "2013-12-19" 0 "0" "ShawnGomez" "Bioinformatics,Computational Biology,Molecular Biology,Immunology,Infectious Diseases"
"230" "2013-08-26" "2013-12-02" "2013-12-23" 0 "2" "DavidMilstone" "Developmental Biology,Genetics"
"231" "2013-11-06" "2013-12-04" "2013-12-19" 1 "0" "MarcoIacoboni" "Psychiatry and Psychology,Public Health"
"232" "2013-10-30" "2013-12-04" "2013-12-19" 1 "0" "DanyGarant" "Animal Behavior,Ecology,Zoology"
"233" "2013-08-20" "2013-12-05" "2014-01-28" 1 "0" "JianguoWu" "Ecology,Ecosystem Science,Environmental Sciences,Soil Science"
"234" "2013-08-30" "2013-12-11" "2014-01-02" 1 "0" "JThewissen" "Paleontology,Taxonomy,Zoology"
"235" "2013-10-01" "2013-12-11" "2014-01-02" 1 "1" "Pei-YuanQian" "Ecology,Marine Biology"
"236" "2013-10-04" "2013-12-11" "2014-01-14" 1 "0" "C. RobertCloninger" "Anthropology,Epidemiology,Psychiatry and Psychology,Public Health"
"237" "2013-04-22" "2013-12-12" "2013-12-23" 1 "0" "HaukeSmidt" "Microbiology,Veterinary Medicine"
"238" "2013-09-26" "2013-12-16" "2014-01-02" 0 "0" "NicolaDecaro" "Veterinary Medicine,Epidemiology,Statistics"
"239" "2013-09-09" "2013-12-17" "2014-03-13" 1 "0" "GerardLazo" "Bioinformatics,Computational Biology,Plant Science"
"240" "2013-10-09" "2013-12-17" "2014-02-11" 1 "0" "LeonHigley" "Ecology,Entomology,Plant Science"
"241" "2013-11-26" "2013-12-17" "2014-01-02" 1 "0" "KeithCrandall" "Bioinformatics,Computational Science,Human–Computer Interaction"
"242" "2013-11-21" "2013-12-19" "2014-01-07" 0 "1" "ThomasLubberstedt" "Agricultural Science,Genetics,Microbiology,Molecular Biology,Plant Science"
"243" "2013-03-21" "2013-12-19" "2014-01-09" 1 "6" "AhmedMoustafa" "Bioinformatics,Computational Biology,Evolutionary Studies,Genomics,Microbiology"
"244" "2013-09-23" "2013-12-21" "2014-01-30" 1 "0" "LinshengSong" "Aquaculture,Fisheries and Fish Science"
"245" "2013-11-27" "2013-12-21" "2014-01-22" 1 "0" "JafriAbdullah" "Anaesthesiology and Pain Management,Emergency and Critical Care,Palliative Care,Public Health,Surgery and Surgical Specialties"
"246" "2013-12-11" "2013-12-27" "2014-01-22" 1 "0" "VladimirUversky" "Biochemistry,Biodiversity,Toxicology"
"247" "2013-10-27" "2013-12-29" "2014-01-30" 1 "0" "DezeneHuber" "Animal Behavior,Entomology,Evolutionary Studies,Zoology"
"248" "2013-10-10" "2013-12-31" "2014-01-28" 1 "0" "Benjamin JWhalley" "Biochemistry,Pharmacology"
"249" "2013-08-27" "2014-01-01" "2014-02-06" 0 "0" "JohnStegeman" "Biochemistry,Conservation Biology,Ecology,Ecosystem Science,Marine Biology"
"250" "2013-11-26" "2014-01-02" "2014-01-30" 1 "0" "StephenMacknik" "Animal Behavior,Neuroscience"
"251" "2013-09-11" "2014-01-03" "2014-02-04" 1 "0" "AnnaTraveset" "Biodiversity,Ecology,Computational Science,Statistics"
"252" "2013-11-04" "2014-01-07" "2014-02-13" 0 "0" "AndrewFarke" "Paleontology"
"253" "2013-10-25" "2014-01-07" "2014-02-06" 1 "0" "ValeriaSouza" "Biochemistry,Microbiology,Molecular Biology"
"254" "2013-12-26" "2014-01-11" "2014-03-06" 0 "0" "LiranLevin" "Anaesthesiology and Pain Management,Dentistry"
"255" "2013-12-19" "2014-01-11" "2014-02-13" 1 "0" "JohnBruno" "Animal Behavior,Ecology,Genetics,Marine Biology,Molecular Biology"
"256" "2013-10-09" "2014-01-12" "2014-02-11" 0 "0" "GerhardAndersson" "Oncology,Psychiatry and Psychology"
"257" "2013-12-15" "2014-01-12" "2014-02-11" 1 "0" "JieLiu" "Epidemiology,Gastroenterology and Hepatology,Internal Medicine"
"258" "2013-12-19" "2014-01-13" "2014-02-06" 1 "0" "AndrewFarke" "Evolutionary Studies,Paleontology,Taxonomy"
"259" "2013-12-18" "2014-01-13" "2014-02-13" 1 "0" "JafriAbdullah" "Psychiatry and Psychology,Public Health"
"260" "2013-09-20" "2014-01-13" "2014-02-13" 1 "0" "JafriAbdullah" "Psychiatry and Psychology,Human-Computer Interaction,Statistics"
"261" "2013-10-15" "2014-01-15" "2014-02-25" 1 "0" "DonRojas" "Neuroscience,Cognitive Disorders,Psychiatry and Psychology"
"262" "2013-10-07" "2014-01-15" "2014-02-25" 0 "0" "MattiasJonsson" "Agricultural Science,Ecology,Entomology"
"263" "2013-10-18" "2014-01-15" "2014-02-25" 0 "0" "ShaneMueller" "Psychiatry and Psychology"
"264" "2013-08-28" "2014-01-15" "2014-02-06" 1 "0" "AndrewWeightman" "Evolutionary Studies,Microbiology"
"265" "2013-11-26" "2014-01-19" "2014-02-27" 1 "0" "NathanSanders" "Biodiversity,Biogeography,Ecology,Ecosystem Science,Plant Science"
"266" "2013-12-03" "2014-01-20" "2014-02-27" 1 "0" "RafaelNajmanovich" "Biochemistry,Biophysics,Computational Biology,Virology,Infectious Diseases"
"267" "2014-01-06" "2014-01-20" "2014-02-25" 1 "0" "GabrieleSorci" "Evolutionary Studies,Mathematical Biology,Microbiology"
"268" "2013-11-13" "2014-01-21" "2014-02-25" 1 "0" "CoenRitsema" "Ecosystem Science,Environmental Sciences,Soil Science"
"269" "2013-04-17" "2014-01-21" "2014-02-27" 1 "0" "Natashade Vere" "Agricultural Science,Animal Behavior,Conservation Biology,Ecosystem Science,Computational Science"
"270" "2013-09-11" "2014-01-22" "2014-02-27" 1 "0" "BarbaraEngelhardt" "Bioinformatics,Computational Biology"
"271" "2013-10-27" "2014-01-22" "2014-03-04" 1 "0" "LeonHigley" "Biodiversity,Ecology,Entomology,Zoology,Statistics"
"272" "2013-12-12" "2014-01-22" "2014-02-25" 1 "0" "RobertPatton" "Health Policy,Public Health"
"273" "2013-12-31" "2014-01-22" "2014-03-11" 0 "0" "GeorgeBentley" "Ecology,Zoology"
"274" "2013-10-04" "2014-01-25" "2014-02-20" 1 "0" "ChrisElphick" "Biodiversity,Conservation Biology,Ecology,Ecosystem Science,Marine Biology"
"275" "2013-11-15" "2014-01-26" "2014-03-18" 0 "0" "VladimirUversky" "Bioengineering,Biophysics,Molecular Biology"
"276" "2013-12-04" "2014-01-27" "2014-02-27" 1 "0" "JulieThompson" "Bioinformatics,Computational Biology,Molecular Biology"
"277" "2013-12-23" "2014-01-27" "2014-03-04" 1 "0" "TomasPerez-Acle" "Biochemistry,Computational Biology,Computational Science"
"278" "2013-12-30" "2014-01-29" "2014-02-18" 1 "1" "LesleyRogers" "Animal Behavior,Ecology"
"279" "2013-12-18" "2014-01-29" "2014-03-06" 0 "0" "LeonHigley" "Animal Behavior,Conservation Biology,Ecology,Environmental Sciences,Zoology"
"280" "2013-12-03" "2014-01-29" "2014-03-04" 1 "0" "WilliamHeath" "Veterinary Medicine,Immunology"
"281" "2013-12-20" "2014-01-30" "2014-03-04" 1 "0" "ValeriaSouza" "Bioinformatics,Genetics,Microbiology,Mycology,Computational Science"
"282" "2013-12-20" "2014-01-30" "2014-03-06" 1 "0" "SørenBentzen" "Cell Biology,Environmental Sciences,Toxicology,Radiology and Medical Imaging,Translational Medicine"
"283" "2013-11-11" "2014-01-30" "2014-03-11" 1 "0" "DanyGarant" "Animal Behavior,Anthropology,Ecology,Zoology"
"284" "2013-10-01" "2014-01-31" "2014-03-25" 1 "0" "AllaKostyukova" "Biophysics,Biotechnology"
"285" "2013-12-31" "2014-01-31" "2014-03-04" 1 "0" "BenjaminLetcher" "Conservation Biology,Ecology,Environmental Sciences,Science and Medical Education,Statistics"
"286" "2013-12-20" "2014-02-02" "2014-03-11" 1 "0" "NigelAndrew" "Ecology"
"287" "2013-12-03" "2014-02-02" "2014-03-04" 1 "0" "JafriAbdullah" "Psychiatry and Psychology"
"288" "2013-10-04" "2014-02-04" "2014-03-13" 1 "0" "T. MartijnBezemer" "Biodiversity,Ecology,Evolutionary Studies,Plant Science"
"289" "2013-07-25" "2014-02-04" "2014-03-11" 1 "0" "ShaneMueller" "Psychiatry and Psychology,Human–Computer Interaction,Statistics"
"290" "2013-09-02" "2014-02-04" "2014-03-18" 1 "0" "JieLiu" "Toxicology"
"291" "2013-09-24" "2014-02-04" "2014-03-06" 1 "0" "DavidRoberts" "Taxonomy,Zoology,Statistics"
"292" "2014-01-13" "2014-02-05" "2014-03-13" 0 "0" "PhilippeGrandcolas" "Parasitology,Taxonomy,Zoology"
"293" "2013-09-24" "2014-02-05" "2014-03-06" 1 "0" "KerryWoods" "Conservation Biology,Ecology,Environmental Sciences,Plant Science"
"294" "2013-12-31" "2014-02-07" "2014-03-04" 0 "0" "JafriAbdullah" "Cognitive Disorders,Neurology,Pediatrics,Psychiatry and Psychology"
"295" "2014-01-21" "2014-02-07" "2014-03-11" 1 "0" "JohnHutchinson" "Biogeography,Ecology,Paleontology,Zoology"
"296" "2013-12-24" "2014-02-10" "2014-03-11" 1 "0" "HannahBuckley" "Biogeography,Ecology,Microbiology"
"297" "2014-01-20" "2014-02-10" "2014-03-04" 1 "1" "PhilippeGrandcolas" "Agricultural Science,Biodiversity,Environmental Sciences,Taxonomy,Zoology"
"298" "2014-01-13" "2014-02-11" "2014-03-11" 1 "0" "MattHutchings" "Microbiology,Infectious Diseases"
"299" "2013-12-18" "2014-02-11" "2014-03-20" 0 "0" "NicolaDecaro" "Veterinary Medicine"
"300" "2013-11-13" "2014-02-12" "2014-03-13" 0 "0" "JohnStegeman" "Conservation Biology,Ecology,Environmental Sciences,Marine Biology"
"301" "2013-12-14" "2014-02-12" "2014-03-13" 0 "0" "JohnHutchinson" "Animal Behavior,Ecology,Evolutionary Studies,Zoology"
"302" "2014-01-03" "2014-02-12" "2014-03-13" 1 "0" "FabianoThompson" "Ecosystem Science,Environmental Sciences,Marine Biology"
"303" "2013-12-17" "2014-02-12" "2014-03-11" 1 "0" "C. RobertCloninger" "Psychiatry and Psychology,Public Health"
"304" "2013-12-20" "2014-02-13" "2014-03-13" 0 "0" "SteffanieStrathdee" "HIV,Infectious Diseases,Pediatrics"
"305" "2014-01-20" "2014-02-14" "2014-03-13" 1 "0" "VladimirUversky" "Biochemistry,Biophysics,Molecular Biology,Virology"
"306" "2013-12-19" "2014-02-18" "2014-03-13" 1 "0" "GavinStewart" "Biodiversity,Biogeography,Ecology,Coupled Natural and Human Systems"
"307" "2013-10-11" "2014-02-20" "2014-03-13" 1 "0" "PraveenArany" "Veterinary Medicine,Dermatology,Pathology"
"308" "2013-04-25" "2014-02-25" "2014-03-18" 1 "0" "MagnusJohnson" "Biodiversity,Ecology,Marine Biology"
"309" "2013-12-28" "2014-02-25" "2014-03-13" 1 "0" "LiZuo" "Emergency and Critical Care,Nursing,Pediatrics,Public Health,Respiratory Medicine"
"310" "2013-12-23" "2014-02-25" "2014-03-13" 1 "2" "WilliamAmos" "Conservation Biology,Ecology,Evolutionary Studies,Genetics,Zoology"
"311" "2013-12-16" "2014-02-26" "2014-03-13" 1 "0" "TimothyMoss" "Epidemiology,Psychiatry and Psychology"
"312" "2013-09-25" "2014-02-27" "2014-03-18" 1 "0" "JenniferWagner" "Anthropology,Conservation Biology,Ecology,Ethical Issues,Science and Medical Education"
"313" "2013-11-28" "2014-02-27" "2014-04-03" 1 "0" "DavidSolomon" "Ethical Issues,Science Policy"
"314" "2013-12-05" "2014-02-28" "2014-03-25" 0 "0" "SeanBrady" "Ecology,Entomology,Evolutionary Studies"
"315" "2013-07-30" "2014-03-01" "2014-03-20" 1 "0" "ZsuzsannaDosztányi" "Bioinformatics,Computational Biology"
"316" "2014-01-13" "2014-03-04" "2014-03-18" 1 "0" "ChristopherJolly" "Biochemistry,Molecular Biology,Parasitology"
"317" "2013-09-07" "2014-03-04" "2014-04-03" 1 "0" "BarbaraChan" "Cell Biology,Parasitology"
"318" "2014-02-04" "2014-03-03" "2014-03-25" 1 "0" "AndrewFarke" "Evolutionary Studies,Paleontology"
"319" "2013-12-13" "2014-03-04" "2014-03-25" 0 "0" "MichaelWink" "Animal Behavior,Ecology,Zoology"
"320" "2013-11-28" "2014-03-04" "2014-04-01" 0 "0" "LiZuo" "Biophysics,Biotechnology,Radiology and Medical Imaging"
"321" "2013-10-05" "2014-03-04" "2014-03-20" 1 "0" "RobertToonen" "Evolutionary Studies,Genetics,Microbiology,Zoology"
"322" "2014-01-17" "2014-03-05" "2014-03-27" 0 "0" "ClausWilke" "Epidemiology,Infectious Diseases,Statistics"
"323" "2014-01-29" "2014-03-07" "2014-03-25" 1 "0" "AllaKostyukova" "Biochemistry,Cell Biology"
"324" "2013-12-31" "2014-03-07" "2014-03-25" 1 "0" "JafriAbdullah" "Global Health,Health Policy,Pathology,Psychiatry and Psychology,Public Health"
"325" "2013-11-22" "2014-03-10" "2014-04-08" 1 "0" "ScottEdwards" "Evolutionary Studies,Histology,Paleontology"
"326" "2014-01-12" "2014-03-10" "2014-03-25" 1 "0" "SiouxsieWiles" "Microbiology,Infectious Diseases"
"327" "2013-08-30" "2014-03-11" "2014-04-08" 1 "0" "RobertCostanza" "Ecology,Environmental Sciences,Marine Biology"
"328" "2014-01-02" "2014-03-12" "2014-03-27" 1 "0" "AnnaTraveset" "Agricultural Science,Biodiversity,Conservation Biology,Ecology"
"329" "2013-10-23" "2014-03-12" "2014-04-01" 1 "0" "DanyGarant" "Animal Behavior,Ecology,Evolutionary Studies,Zoology"
"330" "2014-02-19" "2014-03-13" "2014-03-27" 1 "0" "C. RobertCloninger" "Psychiatry and Psychology"
"331" "2014-01-29" "2014-03-13" "2014-03-27" 1 "0" "JafriAbdullah" "Neuroscience,Cognitive Disorders,Neurology,Public Health"
"332" "2014-02-11" "2014-03-14" "2014-04-01" 1 "0" "JiayanWu" "Bioinformatics,Computational Biology,Genomics,Microbiology"
"333" "2013-12-30" "2014-03-15" "2014-04-08" 1 "0" "Pei-YuanQian" "Ecology,Marine Biology"
"334" "2013-12-27" "2014-03-16" "2014-04-08" 1 "0" "SiouxsieWiles" "Infectious Diseases,Pathology"
"335" "2013-12-12" "2014-03-16" "2014-04-01" 1 "0" "DavidReser" "Neuroscience,Cognitive Disorders,Epidemiology"
"336" "2013-12-31" "2014-03-17" "2014-04-08" 1 "0" "YuLiu" "Biotechnology,Environmental Sciences"
"337" "2014-02-27" "2014-03-17" "2014-04-03" 0 "0" "JafriAbdullah" "Psychiatry and Psychology,Human–Computer Interaction"
"338" "2014-01-02" "2014-03-18" "2014-04-03" 1 "0" "LeonHigley" "Entomology,Anaesthesiology and Pain Management"
"339" "2014-02-02" "2014-03-21" "2014-04-08" 1 "0" "AlexFord" "Ecology,Marine Biology,Zoology,Science and Medical Education"
"340" "2014-01-03" "2014-03-21" "2014-04-17" 1 "0" "SiouxsieWiles" "Evolutionary Studies,Genomics,Microbiology,Infectious Diseases"
"341" "2013-12-31" "2014-03-23" "2014-04-10" 1 "0" "PhilipJones" "Veterinary Medicine,Anaesthesiology and Pain Management,Surgery and Surgical Specialties"
"342" "2013-11-22" "2014-03-24" "2014-04-15" 1 "0" "LucianoFadiga" "Neuroscience"
"343" "2013-10-31" "2014-03-25" "2014-04-10" 1 "0" "JonathanEisen" "Emergency and Critical Care,Infectious Diseases,Public Health"
"344" "2013-12-20" "2014-03-25" "2014-04-10" 1 "0" "LesleyRogers" "Animal Behavior,Ecology,Zoology"
"345" "2013-12-20" "2014-03-25" "2014-04-10" 1 "0" "JafriAbdullah" "Epidemiology,Global Health,Psychiatry and Psychology,Public Health"
"346" "2013-12-07" "2014-03-25" "2014-04-10" 1 "0" "JohnHutchinson" "Biodiversity,Ecology,Zoology"
"347" "2014-02-23" "2014-03-25" "2014-04-10" 1 "0" "JohnHutchinson" "Paleontology"
"348" "2014-02-03" "2014-03-25" "2014-04-15" 1 "0" "MichaelSomers" "Conservation Biology,Ecology,Ecosystem Science,Marine Biology"
"349" "2014-02-25" "2014-03-26" "2014-04-10" 1 "0" "Cheorl-HoKim" "Biochemistry,Cell Biology"
"350" "2013-11-22" "2014-03-27" "2014-04-15" 1 "0" "JaraPérez-Jiménez" "Epidemiology,Global Health,Nutrition"
"351" "2014-01-17" "2014-03-28" "2014-04-17" 1 "0" "NigelAndrew" "Entomology,Parasitology,Epidemiology,Pediatrics,Public Health"
"352" "2014-02-11" "2014-03-28" "2014-04-10" 1 "0" "StephenMacknik" "Animal Behavior,Neuroscience"
"353" "2014-02-02" "2014-03-28" "2014-04-17" 1 "0" "Wei-ChunChin" "Bioengineering,Veterinary Medicine,Orthopedics,Surgery and Surgical Specialties"
"354" "2014-01-26" "2014-03-31" "2014-04-22" 0 "0" "CharlesSchwartz" "Genetics,Medical Genetics,Ethical Issues"
"355" "2013-11-02" "2014-03-31" "2014-05-01" 1 "0" "LiZuo" "Computational Biology,Paleontology,Zoology,Anatomy and Physiology,Computational Science"
"356" "2013-11-22" "2014-03-31" "2014-05-06" 1 "0" "ChristopheDessimoz" "Evolutionary Studies,Genomics"
"357" "2014-02-12" "2014-04-01" "2014-04-17" 1 "0" "GabrieleSorci" "Animal Behavior,Anthropology,Evolutionary Studies,Zoology"
"358" "2013-12-04" "2014-04-02" "2014-04-24" 1 "3" "JackStanford" "Ecology"
"359" "2013-12-27" "2014-04-03" "2014-04-22" 0 "0" "KirstenKyvik" "Genetics,Epidemiology,Psychiatry and Psychology"
"360" "2014-01-21" "2014-04-03" "2014-05-01" 1 "0" "MarionRöder" "Biodiversity,Conservation Biology,Ecology,Ecosystem Science,Plant Science"
"361" "2013-11-30" "2014-04-03" "2014-04-22" 0 "0" "KeithCrandall" "Evolutionary Studies,Taxonomy,Zoology"
"362" "2013-12-04" "2014-04-04" "2014-04-29" 1 "0" "DezeneHuber" "Plant Science"
"363" "2013-12-17" "2014-04-05" "2014-04-22" 1 "0" "StephenMacknik" "Neuroscience,Psychiatry and Psychology,Human–Computer Interaction"
"364" "2014-01-15" "2014-04-06" "2014-04-22" 1 "0" "ThomasBackhaus" "Agricultural Science,Entomology,Environmental Sciences,Toxicology"
"365" "2014-03-19" "2014-04-07" "2014-04-22" 1 "0" "StephenJohnson" "Science Policy"
